,0,1,2,3,4,5
755,1642371600000,43187.99,43187.99,43180.53,43183.78,35108.6837161471
756,1642371660000,43183.97,43191.1,43183.97,43191.1,13989.4894272181
757,1642371720000,43191.1,43196.03,43191.1,43193.87,17267.0693608
758,1642371780000,43193.87,43199.21,43193.87,43199.2,25672.40113732
759,1642371840000,43199.2,43199.2,43185.79,43190.48,23274.4977933982
760,1642371900000,43185.07,43194.49,43184.0,43187.85,6255.02254151
761,1642371960000,43184.45,43186.46,43184.05,43185.97,22162.830455
762,1642372020000,43185.97,43185.97,43183.74,43183.75,499.6503999
763,1642372080000,43183.74,43199.36,43174.6,43186.77,93032.3242457
764,1642372140000,43187.08,43195.06,43187.08,43195.06,8054.9015384
765,1642372200000,43203.7,43203.7,43203.69,43203.69,2332.999304
766,1642372260000,43197.97,43201.53,43195.06,43200.72,13080.7280054
767,1642372320000,43200.72,43200.72,43195.06,43200.28,59669.6457944616
768,1642372380000,43200.27,43201.34,43200.27,43201.34,8480.36896
769,1642372440000,43204.47,43204.48,43204.47,43204.47,1542.399619
770,1642372500000,43204.48,43204.48,43198.37,43198.37,22235.13245418815
771,1642372560000,43198.37,43212.85,43196.77,43198.32,37849.35449882
772,1642372620000,43198.33,43198.33,43189.27,43189.27,16736.446497
773,1642372680000,43183.36,43183.36,43166.73,43166.73,50515.733094
774,1642372740000,43166.73,43166.73,43166.72,43166.72,10308.215107
775,1642372800000,43167.99,43168.0,43167.99,43168.0,13423.84718024435
776,1642372860000,43179.07,43179.08,43179.07,43179.08,116.583512
777,1642372920000,43180.8,43180.8,43175.32,43177.1,578.6192928
778,1642372980000,43177.1,43177.1,43177.09,43177.09,2093.225637
779,1642373040000,43175.08,43175.09,43175.07,43175.07,8915.78329521
780,1642373100000,43171.97,43173.81,43171.96,43173.81,3448.62656974
781,1642373160000,43173.81,43173.81,43149.21,43149.21,14469.877897
782,1642373220000,43153.7,43163.01,43153.7,43163.0,9909.3727361
783,1642373280000,43163.0,43163.0,43154.09,43154.09,11136.475394725
784,1642373340000,43154.09,43154.09,43121.13,43121.14,8578.85262103
785,1642373400000,43115.58,43124.01,43112.15,43124.0,1904.74539532
786,1642373460000,43124.0,43125.44,43118.44,43125.44,3385.199653
787,1642373520000,43125.44,43125.45,43125.44,43125.45,1781.5558840944
788,1642373580000,43129.9,43156.5,43129.9,43151.93,26533.388607
789,1642373640000,43151.93,43160.37,43151.17,43155.84,62472.8276594512
790,1642373700000,43156.08,43156.98,43142.27,43152.01,93208.60732
791,1642373760000,43152.08,43175.14,43152.08,43174.92,1115.4193599016
792,1642373820000,43174.91,43190.47,43170.27,43182.67,44661.086176374
793,1642373880000,43182.67,43244.79,43182.67,43217.34,152872.1018797041
794,1642373940000,43217.34,43217.34,43199.24,43199.24,30160.139761467
795,1642374000000,43191.93,43231.88,43182.67,43205.71,67749.74213429146
796,1642374060000,43205.71,43229.93,43189.94,43194.5,37984.353747
797,1642374120000,43206.76,43206.76,43180.07,43201.41,48579.566373
798,1642374180000,43201.4,43201.4,43176.22,43176.22,33275.5072
799,1642374240000,43176.69,43176.69,43138.31,43151.45,25240.5922087348
800,1642374300000,43151.09,43162.05,43121.78,43154.32,10620.130448
801,1642374360000,43154.33,43164.97,43139.39,43159.65,55392.489185
802,1642374420000,43159.65,43159.65,43142.71,43159.56,21248.163008
803,1642374480000,43159.64,43162.05,43109.1,43141.41,29851.8882627422
804,1642374540000,43159.63,43164.98,43145.57,43145.57,12670.66401288
805,1642374600000,43158.16,43185.08,43158.16,43185.08,16249.073457
806,1642374660000,43185.07,43216.63,43181.12,43216.62,7785.112045
807,1642374720000,43227.05,43258.17,43227.05,43250.4,87608.71662642
808,1642374780000,43250.41,43262.83,43233.66,43241.3,67424.728267
809,1642374840000,43241.29,43241.29,43199.08,43221.56,115726.1576684
810,1642374900000,43229.37,43235.51,43203.08,43205.68,12178.446327
811,1642374960000,43205.68,43222.38,43199.91,43217.62,17485.35304288
812,1642375020000,43217.62,43229.27,43212.35,43225.81,23780.90757538
813,1642375080000,43225.8,43225.8,43180.17,43180.17,50408.52195283
814,1642375140000,43180.17,43189.81,43131.08,43133.33,15457.483158
815,1642375200000,43142.88,43161.23,43129.38,43160.49,50755.2818423783
816,1642375260000,43160.48,43180.68,43159.7,43179.87,26805.417846
817,1642375320000,43181.86,43189.97,43174.22,43184.62,34162.155894
818,1642375380000,43184.62,43201.36,43176.23,43195.84,26246.44948077
819,1642375440000,43201.45,43219.93,43195.85,43216.14,27397.332622
820,1642375500000,43216.12,43234.07,43216.12,43234.07,35807.02288324
821,1642375560000,43237.27,43247.67,43204.36,43204.36,76284.370326
822,1642375620000,43208.31,43214.43,43189.15,43189.15,12203.15954161
823,1642375680000,43189.15,43208.07,43179.74,43190.99,32088.3861175547
824,1642375740000,43181.86,43184.53,43175.93,43184.44,5643.797127
825,1642375800000,43184.43,43187.69,43161.0,43187.69,14205.9154894
826,1642375860000,43183.92,43200.2,43177.79,43196.8,29112.5051624
